delta_s_mm,delta_mm,Ps_N,P_N
0.2208,0.368,24359.7605825547,-2463.32095254148
0.2214,0.369,24387.123019323,-2468.71786905696
0.222,0.37,24413.5601267725,-2473.94075649686
0.2226,0.371,24439.7501425572,-2479.11907022826
0.2232,0.372,24465.8421771534,-2484.2671733021
0.2238,0.373,24491.672483996,-2489.35149078458
0.2244,0.374,24517.1516841113,-2494.37424415524
0.225,0.375,24541.5713876878,-2499.20647509586
0.2256,0.376,24565.473272023,-2503.9532765114
0.2262,0.377,24589.1098820219,-2508.64028191416
0.2268,0.378,24612.485447428,-2513.28565444995
0.2274,0.379,24635.4828828141,-2517.86229392014
0.228,0.38,24658.2709150319,-2522.39479411924
0.2286,0.381,24680.9097519001,-2526.888849461
0.2292,0.382,24703.3147380577,-2531.32328580607
0.2298,0.383,24725.4834914775,-2535.69706307766
0.2304,0.384,24747.3503318323,-2540.00203008793
0.231,0.385,24769.1408089465,-2544.28307903378
0.2316,0.386,24790.3180139368,-2548.46412267101
0.2322,0.387,24811.1096158894,-2552.59057860458
0.2328,0.388,24831.004309799,-2556.52748140865
0.2334,0.389,24850.5716055266,-2560.38758190632
0.234,0.39,24870.0024363502,-2564.21886696905
0.2346,0.391,24889.3166275577,-2568.02216546139
0.2352,0.392,24908.3634208902,-2571.78692271088
0.2358,0.393,24927.1634769326,-2575.50402810669
0.2364,0.394,24945.7847021114,-2579.18212293933
0.237,0.395,24964.3306268878,-2582.84035645201
0.2376,0.396,24982.720970346,-2586.4648173183
0.2382,0.397,25000.606231273,-2590.04561443369
0.2388,0.398,25018.1609245988,-2593.59021248027
0.2394,0.399,25035.5152803886,-2597.10718780293
0.24,0.4,25052.7687075552,-2600.5989744156
0.2406,0.401,25069.9377769566,-2604.07011283072
0.2412,0.402,25086.9551672104,-2607.52708543746
0.2418,0.403,25103.6549897482,-2610.91340850379
0.2424,0.404,25119.9838485242,-2614.21593513099
0.243,0.405,25136.0695857876,-2617.46043148184
0.2436,0.406,25151.8007301111,-2620.62733545468
0.2442,0.407,25167.0752111751,-2623.73289866569
0.2448,0.408,25182.1072179163,-2626.80999260948
0.2454,0.409,25197.0410343242,-2629.86381258626
0.246,0.41,25211.6672700314,-2632.88393579928
0.2466,0.411,25226.0848516852,-2635.87396414057
0.2472,0.412,25240.1842181367,-2638.80258224655
0.2478,0.413,25253.9250832827,-2641.65248906275
0.2484,0.414,25267.5290949594,-2644.48038332761
0.249,0.415,25280.9562283319,-2647.28179932584
0.2496,0.416,25294.1159840035,-2650.0191666303
0.2502,0.417,25307.2164872466,-2652.73656314918
0.2508,0.418,25320.2156015407,-2655.42816427689
0.2514,0.419,25333.140065775,-2658.09821282047
0.252,0.42,25345.9391904926,-2660.74321519371
0.2526,0.421,25358.4537410549,-2663.37505116001
0.2532,0.422,25370.8065064603,-2665.98506011935
0.2538,0.423,25382.8184898184,-2668.53818929492
0.2544,0.424,25394.4819745679,-2671.03559716465
0.255,0.425,25406.0641556547,-2673.51770727469
0.2556,0.426,25417.5728989063,-2675.99174019993
0.2562,0.427,25428.9928557452,-2678.45543016111
0.2568,0.428,25440.2928821987,-2680.88743999278
0.2574,0.429,25451.3172680086,-2683.25637571223
0.258,0.43,25462.2153946434,-2685.59985543286
0.2586,0.431,25472.9621235923,-2687.92508883934
0.2592,0.432,25483.5943345977,-2690.22340931826
0.2598,0.433,25494.114149751,-2692.49658038134
0.2604,0.434,25504.4797104964,-2694.73776982448
0.261,0.435,25514.4637943944,-2696.9185571046
0.2616,0.436,25524.2746708571,-2699.06968484759
0.2622,0.437,25533.8982637983,-2701.17578386568
0.2628,0.438,25543.2057551315,-2703.21099573612
0.2634,0.439,25552.5010363971,-2705.26885790908
0.264,0.44,25561.6731110714,-2707.29491621907
0.2646,0.441,25570.5502769803,-2709.25021550461
0.2652,0.442,25579.3259571119,-2711.18074012124
0.2658,0.443,25588.0352948969,-2713.0976939526
0.2664,0.444,25596.6811701871,-2714.99312188122
0.267,0.445,25605.124697635,-2716.83896345392
0.2676,0.446,25613.4739015677,-2718.66289763316
0.2682,0.447,25621.6900217977,-2720.46008121755
0.2688,0.448,25629.887443383,-2722.25773129121
0.2694,0.449,25638.0318326035,-2724.04152705345
0.27,0.45,25646.1245178686,-2725.80963099296
0.2706,0.451,25654.1216869414,-2727.55182623122
0.2712,0.452,25661.8998817339,-2729.24020537643
0.2718,0.453,25669.4913486033,-2730.89074282528
0.2724,0.454,25676.8281139446,-2732.49231727977
0.273,0.455,25684.0306919458,-2734.06012850723
0.2736,0.456,25691.1565837907,-2735.60669870471
0.2742,0.457,25698.2261284336,-2737.13759494092
0.2748,0.458,25705.2334208169,-2738.65967529565
0.2754,0.459,25712.1288386587,-2740.16123800389
0.276,0.46,25718.9627569371,-2741.64627716746
0.2766,0.461,25725.7590214596,-2743.12045973315
0.2772,0.462,25732.4699721766,-2744.59156318488
0.2778,0.463,25739.0810013916,-2746.05460756567
0.2784,0.464,25745.6431911184,-2747.5067622485
0.279,0.465,25752.1543605175,-2748.94262114588
0.2796,0.466,25758.6896064457,-2750.40137457389
0.2802,0.467,25765.1863874581,-2751.84860461389
0.2808,0.468,25771.6449228224,-2753.28928970341
0.2814,0.469,25778.0623937998,-2754.72145951611
0.282,0.47,25784.3611572336,-2756.14107312119
0.2826,0.471,25790.5533372073,-2757.53746303204
0.2832,0.472,25796.6948347964,-2758.91927309483
0.2838,0.473,25802.7934256857,-2760.28783800501
0.2844,0.474,25808.7954306668,-2761.63399331487
0.285,0.475,25814.6913144914,-2762.9526936307
0.2856,0.476,25820.5308413188,-2764.25578822935
0.2862,0.477,25826.3615256965,-2765.55930837651
0.2868,0.478,25832.2195088257,-2766.87086940302
0.2874,0.479,25838.0493279516,-2768.17512892429
0.288,0.48,25843.8536128962,-2769.47164057667
0.2886,0.481,25849.6243350029,-2770.75743803898
0.2892,0.482,25855.3560638044,-2772.0298198347
0.2898,0.483,25861.0523784986,-2773.29516810208
0.2904,0.484,25866.7100345436,-2774.54797617225
0.291,0.485,25872.325663492,-2775.78867024558
0.2916,0.486,25877.9494166237,-2777.05013344856
0.2922,0.487,25883.5333954919,-2778.29955003545
0.2928,0.488,25889.0179375265,-2779.52661739045
0.2934,0.489,25894.4527960317,-2780.74004120412
0.294,0.49,25899.8131450169,-2781.93330845198
0.2946,0.491,25905.1258694478,-2783.11162329393
0.2952,0.492,25910.4539248721,-2784.30744502991
0.2958,0.493,25915.7816311322,-2785.51505198455
0.2964,0.494,25921.0532004348,-2786.71002276484
0.297,0.495,25926.012065926,-2787.83450009157
0.2976,0.496,25930.9056326673,-2788.94229611542
0.2982,0.497,25935.7314076362,-2790.03108485401
0.2988,0.498,25940.492156984,-2791.09975217875
0.2994,0.499,25945.3112018883,-2792.23248605822
0.3,0.5,25950.125044733,-2793.38519631087
