time,load_N,cmod_mm
3.449999913573265076e-02,1.332199005126953125e+03,3.283450903836637735e-03
3.460000082850456238e-02,1.335879028320312500e+03,3.294101334176957607e-03
3.469999879598617554e-02,1.339553680419921875e+03,3.304785350337624550e-03
3.480000048875808716e-02,1.343224853515625000e+03,3.315490321256220341e-03
3.489999845623970032e-02,1.346893798828125000e+03,3.326209145598113537e-03
3.500000014901161194e-02,1.350561309814453125e+03,3.336937166750431061e-03
3.510000184178352356e-02,1.354227783203125000e+03,3.347671299707144499e-03
3.519999980926513672e-02,1.357893585205078125e+03,3.358410031069070101e-03
3.530000150203704834e-02,1.361558807373046875e+03,3.369151614606380463e-03
3.539999946951866150e-02,1.365223602294921875e+03,3.379896283149719238e-03
3.550000116229057312e-02,1.368888092041015625e+03,3.390642523299902678e-03
3.559999912977218628e-02,1.372552307128906250e+03,3.401390160433948040e-03
3.570000082254409790e-02,1.376216156005859375e+03,3.412140125874429941e-03
3.579999879002571106e-02,1.379879852294921875e+03,3.422890906222164631e-03
3.590000048279762268e-02,1.383543212890625000e+03,3.433643083553761244e-03
3.599999845027923584e-02,1.387206420898437500e+03,3.444396948907524347e-03
3.610000014305114746e-02,1.390869415283203125e+03,3.455151570960879326e-03
3.620000183582305908e-02,1.394532196044921875e+03,3.465907473582774401e-03
3.629999980330467224e-02,1.398194763183593750e+03,3.476665122434496880e-03
3.640000149607658386e-02,1.401857116699218750e+03,3.487423469778150320e-03
3.649999946355819702e-02,1.405519195556640625e+03,3.498183097690343857e-03
3.660000115633010864e-02,1.409181152343750000e+03,3.508943947963416576e-03
3.669999912381172180e-02,1.412842895507812500e+03,3.519705962389707565e-03
3.680000081658363342e-02,1.416504455566406250e+03,3.530468733515590429e-03
3.689999878406524658e-02,1.420165740966796875e+03,3.541233250871300697e-03
3.700000047683715820e-02,1.423826965332031250e+03,3.551998408511281013e-03
3.709999844431877136e-02,1.427487854003906250e+03,3.562764846719801426e-03
3.720000013709068298e-02,1.431148681640625000e+03,3.573532449081540108e-03
