# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
184, 1.928643e+00, 6.301654e-01, 6.373774e+00
185, 1.928659e+00, 6.301656e-01, 6.373774e+00
186, 1.928675e+00, 6.301658e-01, 6.373774e+00
187, 1.928690e+00, 6.301659e-01, 6.373774e+00
188, 1.928706e+00, 6.301661e-01, 6.373774e+00
189, 1.928721e+00, 6.301663e-01, 6.373774e+00
190, 1.928737e+00, 6.301665e-01, 6.373774e+00
191, 1.928752e+00, 6.301666e-01, 6.373774e+00
192, 1.928767e+00, 6.301668e-01, 6.373774e+00
193, 1.928782e+00, 6.301669e-01, 6.373774e+00
194, 1.928797e+00, 6.301671e-01, 6.373774e+00
195, 1.928812e+00, 6.301672e-01, 6.373774e+00
196, 1.928827e+00, 6.301674e-01, 6.373774e+00
197, 1.928841e+00, 6.301675e-01, 6.373774e+00
198, 1.928856e+00, 6.301677e-01, 6.373774e+00
199, 1.928870e+00, 6.301678e-01, 6.373774e+00
200, 1.928884e+00, 6.301679e-01, 6.373774e+00
201, 1.928898e+00, 6.301681e-01, 6.373774e+00
202, 1.928912e+00, 6.301682e-01, 6.373774e+00
203, 1.928926e+00, 6.301683e-01, 6.373774e+00
204, 1.928940e+00, 6.301684e-01, 6.373774e+00
205, 1.928954e+00, 6.301686e-01, 6.373774e+00
206, 1.928967e+00, 6.301687e-01, 6.373774e+00
207, 1.928981e+00, 6.301688e-01, 6.373774e+00
208, 1.928994e+00, 6.301689e-01, 6.373774e+00
209, 1.929007e+00, 6.301690e-01, 6.373774e+00
210, 1.929020e+00, 6.301692e-01, 6.373774e+00
211, 1.929032e+00, 6.301693e-01, 6.373774e+00
212, 1.929045e+00, 6.301694e-01, 6.373774e+00
213, 1.929058e+00, 6.301695e-01, 6.373774e+00
214, 1.929070e+00, 6.301696e-01, 6.373774e+00
215, 1.929081e+00, 6.301697e-01, 6.373774e+00
216, 1.929093e+00, 6.301698e-01, 6.373774e+00
217, 1.929104e+00, 6.301699e-01, 6.373774e+00
218, 1.929115e+00, 6.301700e-01, 6.373774e+00
219, 1.929127e+00, 6.301701e-01, 6.373774e+00
220, 1.929138e+00, 6.301702e-01, 6.373774e+00
221, 1.929149e+00, 6.301703e-01, 6.373774e+00
222, 1.929160e+00, 6.301704e-01, 6.373774e+00
223, 1.929171e+00, 6.301705e-01, 6.373774e+00
224, 1.929181e+00, 6.301705e-01, 6.373774e+00
225, 1.929192e+00, 6.301706e-01, 6.373774e+00
226, 1.929203e+00, 6.301707e-01, 6.373774e+00
227, 1.929213e+00, 6.301708e-01, 6.373774e+00
228, 1.929224e+00, 6.301709e-01, 6.373774e+00
229, 1.929234e+00, 6.301710e-01, 6.373774e+00
230, 1.929245e+00, 6.301710e-01, 6.373774e+00
231, 1.929255e+00, 6.301711e-01, 6.373774e+00
232, 1.929265e+00, 6.301712e-01, 6.373774e+00
233, 1.929275e+00, 6.301713e-01, 6.373774e+00
234, 1.929285e+00, 6.301713e-01, 6.373774e+00
235, 1.929295e+00, 6.301714e-01, 6.373774e+00
236, 1.929305e+00, 6.301715e-01, 6.373774e+00
237, 1.929315e+00, 6.301716e-01, 6.373774e+00
238, 1.929325e+00, 6.301716e-01, 6.373774e+00
239, 1.929334e+00, 6.301717e-01, 6.373774e+00
240, 1.929344e+00, 6.301718e-01, 6.373774e+00
241, 1.929353e+00, 6.301718e-01, 6.373774e+00
242, 1.929363e+00, 6.301719e-01, 6.373774e+00
243, 1.929372e+00, 6.301720e-01, 6.373774e+00
244, 1.929381e+00, 6.301720e-01, 6.373774e+00
245, 1.929389e+00, 6.301721e-01, 6.373774e+00
246, 1.929398e+00, 6.301722e-01, 6.373774e+00
247, 1.929407e+00, 6.301722e-01, 6.373774e+00
248, 1.929416e+00, 6.301723e-01, 6.373774e+00
249, 1.929424e+00, 6.301723e-01, 6.373774e+00
250, 1.929433e+00, 6.301724e-01, 6.373774e+00
251, 1.929441e+00, 6.301724e-01, 6.373774e+00
252, 1.929450e+00, 6.301725e-01, 6.373774e+00
253, 1.929458e+00, 6.301726e-01, 6.373774e+00
254, 1.929466e+00, 6.301726e-01, 6.373774e+00
255, 1.929475e+00, 6.301727e-01, 6.373774e+00
256, 1.929483e+00, 6.301727e-01, 6.373774e+00
257, 1.929491e+00, 6.301728e-01, 6.373774e+00
258, 1.929499e+00, 6.301728e-01, 6.373774e+00
259, 1.929507e+00, 6.301729e-01, 6.373774e+00
260, 1.929515e+00, 6.301729e-01, 6.373774e+00
261, 1.929523e+00, 6.301730e-01, 6.373774e+00
262, 1.929531e+00, 6.301730e-01, 6.373774e+00
263, 1.929539e+00, 6.301731e-01, 6.373774e+00
264, 1.929547e+00, 6.301731e-01, 6.373774e+00
265, 1.929555e+00, 6.301732e-01, 6.373774e+00
266, 1.929562e+00, 6.301732e-01, 6.373774e+00
267, 1.929570e+00, 6.301733e-01, 6.373774e+00
268, 1.929578e+00, 6.301733e-01, 6.373774e+00
269, 1.929585e+00, 6.301733e-01, 6.373774e+00
270, 1.929593e+00, 6.301734e-01, 6.373774e+00
271, 1.929600e+00, 6.301734e-01, 6.373774e+00
272, 1.929608e+00, 6.301735e-01, 6.373774e+00
273, 1.929615e+00, 6.301735e-01, 6.373774e+00
274, 1.929623e+00, 6.301736e-01, 6.373774e+00
275, 1.929634e+00, 6.301736e-01, 6.373774e+00
276, 1.929648e+00, 6.301736e-01, 6.373774e+00
277, 1.929665e+00, 6.301737e-01, 6.373774e+00
278, 1.929684e+00, 6.301737e-01, 6.373774e+00
279, 1.929705e+00, 6.301737e-01, 6.373774e+00
280, 1.929728e+00, 6.301737e-01, 6.373774e+00
281, 1.929751e+00, 6.301737e-01, 6.373774e+00
282, 1.929775e+00, 6.301737e-01, 6.373774e+00
283, 1.929799e+00, 6.301737e-01, 6.373774e+00
284, 1.929823e+00, 6.301736e-01, 6.373774e+00
285, 1.929847e+00, 6.301736e-01, 6.373774e+00
286, 1.929871e+00, 6.301735e-01, 6.373774e+00
287, 1.929895e+00, 6.301734e-01, 6.373774e+00
288, 1.929919e+00, 6.301733e-01, 6.373774e+00
289, 1.929942e+00, 6.301732e-01, 6.373774e+00
290, 1.929966e+00, 6.301731e-01, 6.373774e+00
291, 1.929990e+00, 6.301730e-01, 6.373774e+00
292, 1.930013e+00, 6.301729e-01, 6.373774e+00
293, 1.930036e+00, 6.301728e-01, 6.373774e+00
294, 1.930059e+00, 6.301727e-01, 6.373774e+00
295, 1.930082e+00, 6.301725e-01, 6.373774e+00
296, 1.930104e+00, 6.301724e-01, 6.373774e+00
297, 1.930127e+00, 6.301723e-01, 6.373774e+00
298, 1.930149e+00, 6.301721e-01, 6.373774e+00
299, 1.930171e+00, 6.301720e-01, 6.373774e+00
300, 1.930193e+00, 6.301719e-01, 6.373774e+00
301, 1.930215e+00, 6.301717e-01, 6.373774e+00
302, 1.930237e+00, 6.301716e-01, 6.373774e+00
303, 1.930259e+00, 6.301715e-01, 6.373774e+00
304, 1.930281e+00, 6.301713e-01, 6.373774e+00
305, 1.930302e+00, 6.301712e-01, 6.373774e+00
306, 1.930324e+00, 6.301710e-01, 6.373774e+00
307, 1.930345e+00, 6.301709e-01, 6.373774e+00
308, 1.930366e+00, 6.301708e-01, 6.373774e+00
309, 1.930388e+00, 6.301706e-01, 6.373774e+00
310, 1.930409e+00, 6.301705e-01, 6.373774e+00
311, 1.930429e+00, 6.301704e-01, 6.373774e+00
312, 1.930450e+00, 6.301702e-01, 6.373774e+00
313, 1.930471e+00, 6.301701e-01, 6.373774e+00
314, 1.930491e+00, 6.301699e-01, 6.373774e+00
315, 1.930512e+00, 6.301698e-01, 6.373774e+00
316, 1.930532e+00, 6.301697e-01, 6.373774e+00
317, 1.930552e+00, 6.301695e-01, 6.373774e+00
318, 1.930572e+00, 6.301694e-01, 6.373774e+00
319, 1.930592e+00, 6.301693e-01, 6.373774e+00
320, 1.930611e+00, 6.301691e-01, 6.373774e+00
321, 1.930631e+00, 6.301690e-01, 6.373774e+00
322, 1.930650e+00, 6.301688e-01, 6.373774e+00
323, 1.930670e+00, 6.301687e-01, 6.373774e+00
324, 1.930689e+00, 6.301686e-01, 6.373774e+00
325, 1.930708e+00, 6.301685e-01, 6.373774e+00
326, 1.930728e+00, 6.301683e-01, 6.373774e+00
327, 1.930749e+00, 6.301681e-01, 6.373774e+00
328, 1.930770e+00, 6.301679e-01, 6.373774e+00
329, 1.930791e+00, 6.301678e-01, 6.373774e+00
330, 1.930814e+00, 6.301676e-01, 6.373774e+00
331, 1.930838e+00, 6.301674e-01, 6.373774e+00
332, 1.930862e+00, 6.301673e-01, 6.373774e+00
333, 1.930886e+00, 6.301671e-01, 6.373774e+00
334, 1.930911e+00, 6.301669e-01, 6.373774e+00
335, 1.930936e+00, 6.301668e-01, 6.373774e+00
336, 1.930961e+00, 6.301666e-01, 6.373774e+00
337, 1.930986e+00, 6.301664e-01, 6.373774e+00
338, 1.931011e+00, 6.301663e-01, 6.373774e+00
339, 1.931036e+00, 6.301661e-01, 6.373774e+00
340, 1.931061e+00, 6.301660e-01, 6.373774e+00
341, 1.931086e+00, 6.301658e-01, 6.373774e+00
342, 1.931111e+00, 6.301657e-01, 6.373774e+00
343, 1.931135e+00, 6.301655e-01, 6.373774e+00
344, 1.931160e+00, 6.301654e-01, 6.373774e+00
345, 1.931184e+00, 6.301653e-01, 6.373774e+00
346, 1.931209e+00, 6.301651e-01, 6.373774e+00
347, 1.931233e+00, 6.301650e-01, 6.373774e+00
348, 1.931259e+00, 6.301648e-01, 6.373774e+00
349, 1.931287e+00, 6.301645e-01, 6.373774e+00
350, 1.931315e+00, 6.301642e-01, 6.373774e+00
351, 1.931345e+00, 6.301639e-01, 6.373774e+00
352, 1.931375e+00, 6.301636e-01, 6.373774e+00
353, 1.931406e+00, 6.301633e-01, 6.373774e+00
354, 1.931436e+00, 6.301629e-01, 6.373774e+00
355, 1.931467e+00, 6.301626e-01, 6.373774e+00
356, 1.931498e+00, 6.301623e-01, 6.373774e+00
357, 1.931529e+00, 6.301620e-01, 6.373774e+00
358, 1.931559e+00, 6.301617e-01, 6.373774e+00
359, 1.931590e+00, 6.301614e-01, 6.373774e+00
360, 1.931620e+00, 6.301610e-01, 6.373774e+00
361, 1.931651e+00, 6.301607e-01, 6.373774e+00
362, 1.931682e+00, 6.301603e-01, 6.373774e+00
363, 1.931712e+00, 6.301599e-01, 6.373774e+00
364, 1.931743e+00, 6.301596e-01, 6.373774e+00
365, 1.931774e+00, 6.301592e-01, 6.373774e+00
366, 1.931804e+00, 6.301588e-01, 6.373774e+00
367, 1.931834e+00, 6.301585e-01, 6.373774e+00
368, 1.931864e+00, 6.301581e-01, 6.373774e+00
