# cmod[mm], load[N]
5.054705e-03, 1.878096e+03
5.066395e-03, 1.881377e+03
5.078089e-03, 1.884657e+03
5.089787e-03, 1.887936e+03
5.101487e-03, 1.891215e+03
5.113188e-03, 1.894493e+03
5.124891e-03, 1.897772e+03
5.136596e-03, 1.901050e+03
5.148306e-03, 1.904327e+03
5.160033e-03, 1.907601e+03
5.171775e-03, 1.910873e+03
5.183530e-03, 1.914143e+03
5.195315e-03, 1.917408e+03
5.207131e-03, 1.920668e+03
5.218969e-03, 1.923925e+03
5.230841e-03, 1.927176e+03
5.242745e-03, 1.930423e+03
5.254675e-03, 1.933665e+03
5.266623e-03, 1.936905e+03
5.278584e-03, 1.940143e+03
5.290564e-03, 1.943378e+03
5.302561e-03, 1.946610e+03
5.314567e-03, 1.949840e+03
5.326581e-03, 1.953070e+03
5.338598e-03, 1.956299e+03
5.350619e-03, 1.959528e+03
5.362641e-03, 1.962756e+03
5.374665e-03, 1.965983e+03
5.386691e-03, 1.969211e+03
5.398717e-03, 1.972438e+03
5.410745e-03, 1.975665e+03
5.422773e-03, 1.978892e+03
5.434803e-03, 1.982118e+03
5.446845e-03, 1.985343e+03
5.458913e-03, 1.988563e+03
5.471007e-03, 1.991779e+03
5.483125e-03, 1.994992e+03
5.495271e-03, 1.998199e+03
5.507439e-03, 2.001403e+03
5.519624e-03, 2.004604e+03
5.531822e-03, 2.007804e+03
5.544038e-03, 2.011000e+03
5.556269e-03, 2.014194e+03
5.568511e-03, 2.017386e+03
5.580760e-03, 2.020577e+03
5.593015e-03, 2.023766e+03
5.605274e-03, 2.026955e+03
5.617536e-03, 2.030144e+03
5.629800e-03, 2.033332e+03
5.642066e-03, 2.036519e+03
5.654334e-03, 2.039706e+03
5.666604e-03, 2.042893e+03
5.678875e-03, 2.046080e+03
5.691154e-03, 2.049265e+03
5.703437e-03, 2.052449e+03
5.715725e-03, 2.055633e+03
5.728019e-03, 2.058816e+03
5.740317e-03, 2.061998e+03
5.752624e-03, 2.065178e+03
5.764946e-03, 2.068356e+03
5.777283e-03, 2.071532e+03
5.789661e-03, 2.074701e+03
5.802077e-03, 2.077864e+03
5.814518e-03, 2.081023e+03
5.826978e-03, 2.084179e+03
5.839450e-03, 2.087333e+03
5.851931e-03, 2.090485e+03
5.864419e-03, 2.093637e+03
5.876911e-03, 2.096787e+03
5.889407e-03, 2.099937e+03
5.901905e-03, 2.103086e+03
5.914405e-03, 2.106235e+03
5.926911e-03, 2.109383e+03
5.939423e-03, 2.112530e+03
5.951940e-03, 2.115676e+03
5.964461e-03, 2.118821e+03
5.976985e-03, 2.121966e+03
5.989515e-03, 2.125110e+03
