# cmod[mm], load[N]
8.638322e-02, 2.152434e+03
8.676338e-02, 2.141617e+03
8.714304e-02, 2.130883e+03
8.752199e-02, 2.120269e+03
8.790021e-02, 2.109783e+03
8.827876e-02, 2.099285e+03
8.865821e-02, 2.088710e+03
8.903761e-02, 2.078167e+03
8.941667e-02, 2.067702e+03
8.979537e-02, 2.057321e+03
9.017361e-02, 2.047027e+03
9.055187e-02, 2.036757e+03
9.093002e-02, 2.026520e+03
9.130780e-02, 2.016351e+03
9.168501e-02, 2.006279e+03
9.206168e-02, 1.996304e+03
9.243767e-02, 1.986448e+03
9.281323e-02, 1.976676e+03
9.318928e-02, 1.966872e+03
9.356523e-02, 1.957107e+03
9.394066e-02, 1.947430e+03
9.431565e-02, 1.937825e+03
9.468963e-02, 1.928381e+03
9.506257e-02, 1.919106e+03
9.543662e-02, 1.909724e+03
9.581079e-02, 1.900349e+03
9.618462e-02, 1.891044e+03
9.655789e-02, 1.881830e+03
9.693063e-02, 1.872704e+03
9.730315e-02, 1.863638e+03
9.767544e-02, 1.854613e+03
9.804727e-02, 1.845666e+03
9.841930e-02, 1.836737e+03
9.879125e-02, 1.827847e+03
9.916274e-02, 1.819038e+03
9.953377e-02, 1.810304e+03
9.990412e-02, 1.801685e+03
1.002739e-01, 1.793160e+03
1.006437e-01, 1.784647e+03
1.010133e-01, 1.776191e+03
1.013823e-01, 1.767816e+03
1.017515e-01, 1.759455e+03
1.021206e-01, 1.751117e+03
1.024893e-01, 1.742851e+03
1.028576e-01, 1.734662e+03
1.032260e-01, 1.726468e+03
1.035947e-01, 1.718279e+03
1.039630e-01, 1.710150e+03
1.043311e-01, 1.702069e+03
1.046987e-01, 1.694068e+03
1.050652e-01, 1.686229e+03
1.054315e-01, 1.678419e+03
1.057980e-01, 1.670600e+03
1.061652e-01, 1.662725e+03
1.065321e-01, 1.654907e+03
1.068987e-01, 1.647143e+03
1.072652e-01, 1.639412e+03
1.076318e-01, 1.631696e+03
1.079984e-01, 1.624013e+03
1.083647e-01, 1.616371e+03
1.087304e-01, 1.608828e+03
1.090958e-01, 1.601334e+03
1.094611e-01, 1.593882e+03
1.098260e-01, 1.586480e+03
1.101906e-01, 1.579134e+03
1.105554e-01, 1.571773e+03
1.109200e-01, 1.564457e+03
1.112842e-01, 1.557197e+03
1.116485e-01, 1.549959e+03
1.120128e-01, 1.542744e+03
1.123770e-01, 1.535559e+03
1.127409e-01, 1.528426e+03
1.131048e-01, 1.521312e+03
1.134684e-01, 1.514246e+03
1.138318e-01, 1.507231e+03
1.141951e-01, 1.500236e+03
1.145582e-01, 1.493286e+03
1.149208e-01, 1.486388e+03
1.152832e-01, 1.479541e+03
1.156449e-01, 1.472779e+03
1.160074e-01, 1.465952e+03
1.163699e-01, 1.459141e+03
1.167325e-01, 1.452339e+03
1.170953e-01, 1.445543e+03
1.174578e-01, 1.438792e+03
1.178201e-01, 1.432081e+03
1.181820e-01, 1.425429e+03
1.185433e-01, 1.418868e+03
1.189042e-01, 1.412367e+03
1.192651e-01, 1.405882e+03
1.196259e-01, 1.399427e+03
1.199865e-01, 1.393016e+03
1.203468e-01, 1.386648e+03
1.207066e-01, 1.380358e+03
1.210667e-01, 1.374045e+03
1.214266e-01, 1.367772e+03
1.217862e-01, 1.361545e+03
1.221457e-01, 1.355349e+03
1.225049e-01, 1.349195e+03
