# step, mean_h_oliver[mm], min_h_oliver[mm], max_h_oliver[mm]
301, 2.062501e+00, 6.296781e-01, 6.373774e+00
302, 2.062582e+00, 6.295761e-01, 6.373774e+00
303, 2.062651e+00, 6.294545e-01, 6.373774e+00
304, 2.062722e+00, 6.293544e-01, 6.373774e+00
305, 2.062793e+00, 6.292758e-01, 6.373774e+00
306, 2.062864e+00, 6.292191e-01, 6.373774e+00
307, 2.062938e+00, 6.291839e-01, 6.373774e+00
308, 2.063022e+00, 6.291700e-01, 6.373774e+00
309, 2.063100e+00, 6.291769e-01, 6.373774e+00
310, 2.063173e+00, 6.292042e-01, 6.373774e+00
311, 2.063251e+00, 6.292516e-01, 6.373774e+00
312, 2.063307e+00, 6.293187e-01, 6.373774e+00
313, 2.063350e+00, 6.294050e-01, 6.373774e+00
314, 2.063387e+00, 6.295099e-01, 6.373774e+00
315, 2.063431e+00, 6.296329e-01, 6.373774e+00
316, 2.063470e+00, 6.297732e-01, 6.373774e+00
317, 2.063509e+00, 6.299292e-01, 6.373774e+00
318, 2.063559e+00, 6.300998e-01, 6.373774e+00
319, 2.063619e+00, 6.302845e-01, 6.373774e+00
320, 2.063672e+00, 6.304834e-01, 6.373774e+00
321, 2.063718e+00, 6.306958e-01, 6.373774e+00
322, 2.063767e+00, 6.309208e-01, 6.373774e+00
323, 2.063808e+00, 6.311585e-01, 6.373774e+00
324, 2.063845e+00, 6.314090e-01, 6.373774e+00
325, 2.063887e+00, 6.316722e-01, 6.373774e+00
326, 2.063937e+00, 6.319480e-01, 6.373774e+00
327, 2.063973e+00, 6.322357e-01, 6.373774e+00
328, 2.064014e+00, 6.325350e-01, 6.373774e+00
329, 2.064059e+00, 6.328455e-01, 6.373774e+00
330, 2.064112e+00, 6.331671e-01, 6.373774e+00
331, 2.064168e+00, 6.334997e-01, 6.373774e+00
332, 2.064231e+00, 6.338412e-01, 6.373774e+00
333, 2.064294e+00, 6.341912e-01, 6.373774e+00
334, 2.064360e+00, 6.345490e-01, 6.373774e+00
335, 2.064426e+00, 6.349139e-01, 6.373774e+00
336, 2.064479e+00, 6.352829e-01, 6.373774e+00
337, 2.064531e+00, 6.356564e-01, 6.373774e+00
338, 2.064571e+00, 6.360384e-01, 6.373774e+00
339, 2.064614e+00, 6.364275e-01, 6.373774e+00
340, 2.064647e+00, 6.368240e-01, 6.373774e+00
341, 2.064680e+00, 6.372281e-01, 6.373774e+00
342, 2.064714e+00, 6.376398e-01, 6.373774e+00
343, 2.064746e+00, 6.380595e-01, 6.373774e+00
344, 2.064777e+00, 6.384869e-01, 6.373774e+00
345, 2.064810e+00, 6.389220e-01, 6.373774e+00
346, 2.064851e+00, 6.393656e-01, 6.373774e+00
347, 2.064892e+00, 6.398169e-01, 6.373774e+00
348, 2.064938e+00, 6.402759e-01, 6.373774e+00
349, 2.064990e+00, 6.407430e-01, 6.373774e+00
350, 2.065045e+00, 6.412181e-01, 6.373774e+00
351, 2.065104e+00, 6.417015e-01, 6.373774e+00
352, 2.065171e+00, 6.421936e-01, 6.373774e+00
353, 2.065247e+00, 6.426943e-01, 6.373774e+00
354, 2.065304e+00, 6.432026e-01, 6.373774e+00
355, 2.065363e+00, 6.437192e-01, 6.373774e+00
356, 2.065418e+00, 6.442443e-01, 6.373774e+00
357, 2.065481e+00, 6.447775e-01, 6.373774e+00
358, 2.065545e+00, 6.453176e-01, 6.373774e+00
359, 2.065607e+00, 6.458649e-01, 6.373774e+00
360, 2.065666e+00, 6.464193e-01, 6.373774e+00
361, 2.065696e+00, 6.469813e-01, 6.373774e+00
362, 2.065751e+00, 6.475507e-01, 6.373774e+00
363, 2.065791e+00, 6.481279e-01, 6.373774e+00
364, 2.065836e+00, 6.487121e-01, 6.373774e+00
365, 2.065872e+00, 6.493038e-01, 6.373774e+00
366, 2.065907e+00, 6.499031e-01, 6.373774e+00
367, 2.065941e+00, 6.505086e-01, 6.373774e+00
368, 2.065977e+00, 6.511203e-01, 6.373774e+00
369, 2.066008e+00, 6.517376e-01, 6.373774e+00
370, 2.066038e+00, 6.523611e-01, 6.373774e+00
371, 2.066072e+00, 6.529909e-01, 6.373774e+00
372, 2.066106e+00, 6.536271e-01, 6.373774e+00
373, 2.066136e+00, 6.542691e-01, 6.373774e+00
374, 2.066165e+00, 6.549163e-01, 6.373774e+00
375, 2.066197e+00, 6.555694e-01, 6.373774e+00
376, 2.066232e+00, 6.562285e-01, 6.373774e+00
377, 2.066271e+00, 6.568925e-01, 6.373774e+00
378, 2.066310e+00, 6.575614e-01, 6.373774e+00
379, 2.066361e+00, 6.582127e-01, 6.373774e+00
380, 2.066395e+00, 6.587837e-01, 6.373774e+00
381, 2.066437e+00, 6.593565e-01, 6.373774e+00
382, 2.066480e+00, 6.599324e-01, 6.373774e+00
383, 2.066527e+00, 6.605119e-01, 6.373774e+00
384, 2.066571e+00, 6.610952e-01, 6.373774e+00
385, 2.066612e+00, 6.616818e-01, 6.373774e+00
386, 2.066654e+00, 6.622724e-01, 6.373774e+00
387, 2.066686e+00, 6.628670e-01, 6.373774e+00
388, 2.066719e+00, 6.634656e-01, 6.373774e+00
389, 2.066765e+00, 6.640674e-01, 6.373774e+00
390, 2.066817e+00, 6.646721e-01, 6.373774e+00
391, 2.066858e+00, 6.652789e-01, 6.373774e+00
392, 2.066888e+00, 6.658880e-01, 6.373774e+00
393, 2.066916e+00, 6.664965e-01, 6.373774e+00
394, 2.066943e+00, 6.671032e-01, 6.373774e+00
395, 2.066968e+00, 6.677096e-01, 6.373774e+00
396, 2.066995e+00, 6.683159e-01, 6.373774e+00
397, 2.067023e+00, 6.689229e-01, 6.373774e+00
398, 2.067048e+00, 6.695296e-01, 6.373774e+00
399, 2.067073e+00, 6.701360e-01, 6.373774e+00
400, 2.067100e+00, 6.707434e-01, 6.373774e+00
401, 2.067131e+00, 6.713524e-01, 6.373774e+00
402, 2.067161e+00, 6.719632e-01, 6.373774e+00
403, 2.067188e+00, 6.725757e-01, 6.373774e+00
404, 2.067216e+00, 6.731903e-01, 6.373774e+00
405, 2.067244e+00, 6.738069e-01, 6.373774e+00
406, 2.067271e+00, 6.744260e-01, 6.373774e+00
407, 2.067298e+00, 6.750446e-01, 6.373774e+00
408, 2.067323e+00, 6.756628e-01, 6.373774e+00
409, 2.067348e+00, 6.762008e-01, 6.373774e+00
410, 2.067372e+00, 6.761093e-01, 6.373774e+00
411, 2.067396e+00, 6.760187e-01, 6.373774e+00
412, 2.067420e+00, 6.759288e-01, 6.373774e+00
413, 2.067451e+00, 6.758398e-01, 6.373774e+00
414, 2.067486e+00, 6.757515e-01, 6.373774e+00
415, 2.067516e+00, 6.756640e-01, 6.373774e+00
416, 2.067547e+00, 6.755773e-01, 6.373774e+00
417, 2.067578e+00, 6.754912e-01, 6.373774e+00
418, 2.067609e+00, 6.754059e-01, 6.373774e+00
419, 2.067639e+00, 6.753213e-01, 6.373774e+00
420, 2.067664e+00, 6.752373e-01, 6.373774e+00
421, 2.067691e+00, 6.751541e-01, 6.373774e+00
422, 2.067720e+00, 6.750716e-01, 6.373774e+00
423, 2.067753e+00, 6.749898e-01, 6.373774e+00
424, 2.067788e+00, 6.749086e-01, 6.373774e+00
425, 2.067825e+00, 6.748281e-01, 6.373774e+00
426, 2.067862e+00, 6.743453e-01, 6.373774e+00
427, 2.067897e+00, 6.738317e-01, 6.373774e+00
428, 2.067928e+00, 6.733256e-01, 6.373774e+00
429, 2.067957e+00, 6.728276e-01, 6.373774e+00
430, 2.067983e+00, 6.723388e-01, 6.373774e+00
431, 2.068011e+00, 6.718577e-01, 6.373774e+00
432, 2.068039e+00, 6.713819e-01, 6.373774e+00
433, 2.068067e+00, 6.709108e-01, 6.373774e+00
434, 2.068095e+00, 6.704442e-01, 6.373774e+00
435, 2.068120e+00, 6.699814e-01, 6.373774e+00
436, 2.068142e+00, 6.695222e-01, 6.373774e+00
437, 2.068165e+00, 6.690668e-01, 6.373774e+00
438, 2.068185e+00, 6.686156e-01, 6.373774e+00
439, 2.068206e+00, 6.681689e-01, 6.373774e+00
440, 2.068228e+00, 6.677267e-01, 6.373774e+00
441, 2.068249e+00, 6.672921e-01, 6.373774e+00
442, 2.068269e+00, 6.668647e-01, 6.373774e+00
443, 2.068290e+00, 6.664433e-01, 6.373774e+00
444, 2.068310e+00, 6.660291e-01, 6.373774e+00
445, 2.068331e+00, 6.656233e-01, 6.373774e+00
446, 2.068352e+00, 6.652229e-01, 6.373774e+00
447, 2.068371e+00, 6.648290e-01, 6.373774e+00
448, 2.068392e+00, 6.644401e-01, 6.373774e+00
449, 2.068417e+00, 6.640553e-01, 6.373774e+00
450, 2.068437e+00, 6.636744e-01, 6.373774e+00
451, 2.068458e+00, 6.632974e-01, 6.373774e+00
452, 2.068477e+00, 6.629245e-01, 6.373774e+00
453, 2.068493e+00, 6.625553e-01, 6.373774e+00
454, 2.068508e+00, 6.621896e-01, 6.373774e+00
455, 2.068524e+00, 6.618274e-01, 6.373774e+00
456, 2.068542e+00, 6.614687e-01, 6.373774e+00
457, 2.068561e+00, 6.611143e-01, 6.373774e+00
458, 2.068587e+00, 6.607634e-01, 6.373774e+00
459, 2.068618e+00, 6.604163e-01, 6.373774e+00
460, 2.068626e+00, 6.600729e-01, 6.373774e+00
461, 2.068639e+00, 6.597331e-01, 6.373774e+00
462, 2.068655e+00, 6.593994e-01, 6.373774e+00
463, 2.068672e+00, 6.590710e-01, 6.373774e+00
464, 2.068688e+00, 6.587472e-01, 6.373774e+00
465, 2.068704e+00, 6.584273e-01, 6.373774e+00
466, 2.068718e+00, 6.581112e-01, 6.373774e+00
467, 2.068734e+00, 6.577987e-01, 6.373774e+00
468, 2.068749e+00, 6.574897e-01, 6.373774e+00
469, 2.068767e+00, 6.571841e-01, 6.373774e+00
470, 2.068786e+00, 6.568832e-01, 6.373774e+00
471, 2.068804e+00, 6.565901e-01, 6.373774e+00
472, 2.068822e+00, 6.563023e-01, 6.373774e+00
473, 2.068840e+00, 6.560195e-01, 6.373774e+00
474, 2.068857e+00, 6.557415e-01, 6.373774e+00
475, 2.068875e+00, 6.554670e-01, 6.373774e+00
476, 2.068893e+00, 6.551955e-01, 6.373774e+00
477, 2.068912e+00, 6.549269e-01, 6.373774e+00
